Class	Categories	 Amount 	 Ceiling 	Unit
Abattoir (Private)	CAT A - Industrial setting  (Large)		 1,350.00 	Per Annum
Abattoir (Private)	CAT B - Industrial Setting  (Medium)		 975.00 	Per Annum
Abattoir (Private)	CAT C - Industrial Setting  (Small)		 750.00 	Per Annum
Abattoir (Private)	CAT D - Slaughter House (Large)		 500.00 	Per Annum
Abattoir (Private)	CAT E - Slaughter House (Medium)		 370.00 	Per Annum
Abattoir (Private)	CAT F - Slaughter House (Small)	 200.00 	 250.00 	Per Annum
Abattoir (Private)	CAT G - Others	 50.00 	 130.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT A - Weavers & Sellers (Large)		 750.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT B - Weavers Only (Large)	 300.00 	 350.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT C - Sellers Only (Large)	 300.00 	 600.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT D - Weavers & Sellers (Medium)	 160.00 	 280.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT E - Weavers Only (Medium)	 140.00 	 140.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT F  - Sellers Only (Medium)	 250.00 	 210.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT G - Weavers & Sellers (Small)	 100.00 	 130.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT H - Weavers Only (Small)	 70.00 	 100.00 	Per Annum
Adinkra Designers/Kente/Smock Weavers & Sellers	CAT I  - Sellers Only (Small)	 100.00 	 130.00 	Per Annum
Advertising Companies	CAT A - Platinum (minimum of 10 staff)		 2,100.00 	Per Annum
Advertising Companies	CAT B - Gold (minimum of 5 staff)		 1,500.00 	Per Annum
Advertising Companies	CAT C - Silver  (minimum of 3 staff)		 970.00 	Per Annum
Advertising Companies	CAT D - Bronze (Below 3 staff)		 450.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT A - Manufacturers/ Importers/ Distributors/Retailers		 1,800.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT B - Importers/ Distributors/Retailers		 1,600.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT B - Manufacturers & Importers		 1,350.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT C - Manufacturers & Distributors		 1,050.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT D - Distributors & Retailers	 750.00 	 900.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT E - Manufacturers		 700.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT F - Importers		 550.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT G - Distributors		 400.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT H - Retailers	 400.00 	 250.00 	Per Annum
Agro Chemical/Farm Inputs Dealers	CAT I - Retailers (Small)	 250.00 	 250.00 	Per Annum
Agro Machine Dealers	CAT A - Importers/ Distributors/ Retailers		 1,900.00 	Per Annum
Agro Machine Dealers	CAT B - Importers/Distributors		 1,500.00 	Per Annum
Agro Machine Dealers	CAT C - Manufacturers/ Distributors/ Retailers		 1,350.00 	Per Annum
Agro Machine Dealers	CAT D - Manufacturers & Distributors		 1,200.00 	Per Annum
Agro Machine Dealers	CAT E - Distributors & Retailers	 900.00 	 970.00 	Per Annum
Agro Machine Dealers	CAT F - Manufacturers		 750.00 	Per Annum
Agro Machine Dealers	CAT G - Importers		 600.00 	Per Annum
Agro Machine Dealers	CAT H - Distributors	 400.00 	 450.00 	Per Annum
Agro Machine Dealers	CAT I - Retailers	 350.00 	 300.00 	Per Annum
Airline Offices/Operators	CAT A - Non-African Carriers		 14,000.00 	Per Annum
Airline Offices/Operators	CAT B - Local & Regional Carriers		 13,000.00 	Per Annum
Airline Offices/Operators	CAT C - African Carriers		 12,000.00 	Per Annum
Airline Offices/Operators	CAT D - Local Carriers		 10,000.00 	Per Annum
Airline Offices/Operators	CAT E - Agents of Airlines		 700.00 	Per Annum
Airport Operators	CAT A -International		 50,000.00 	Per Annum
Airport Operators	CAT B - Domestic		 30,000.00 	Per Annum
Manufacturers (Distillers)	CAT A - Large Scale	 500.00 	 700.00 	Per Annum
Manufacturers (Distillers)	CAT B - Medium Scale	 260.00 	 280.00 	Per Annum
Manufacturers (Distillers)	CAT C - Small Scale	 120.00 	 140.00 	Per Annum
Distributors	CAT A - Large scale	 500.00 	 700.00 	Per Annum
Distributors	CAT B - Medium Scale	 350.00 	 280.00 	Per Annum
Distributors	CAT C - Small Scale	 300.00 	 140.00 	Per Annum
Home Based/Farm Site	CAT A - Pito (daily brewing)	 100.00 	 100.00 	Per Annum
Home Based/Farm Site	CAT B - Palm Wine Tappers	 200.00 	 70.00 	Per Annum
Akpeteshie Sellers  Only	Akpeteshie Sellers  Only	 100.00 	 130.00 	Per Annum
Aluminium Fabricators (Doors/Windows)	CAT A  Large Scale	 1,500.00 	 2,800.00 	Per Annum
Aluminium Fabricators (Doors/Windows)	CAT B  Medium Scale	 1,200.00 	 2,600.00 	Per Annum
Aluminium Fabricators (Doors/Windows)	CAT C  Small Scale	 500.00 	 1,400.00 	Per Annum
Aluminium Fabricators (Doors/Windows)	CAT D - Others	 300.00 	 700.00 	Per Annum
Aluminium Pot Dealers (Dadesen)	CAT A - Manufacturers		 280.00 	Per Annum
Aluminium Pot Dealers (Dadesen)	CAT B - Distributors		 250.00 	Per Annum
Aluminium Pot Dealers (Dadesen)	CAT C - Retailers		 160.00 	Per Annum
Aluminium Manufacturing	CAT A - Smelting		 22,400.00 	Per Annum
Aluminium Manufacturing	CAT B -  Multiple Product Lines		 17,000.00 	Per Annum
Aluminium Manufacturing	CAT C - Roofing Sheets only		 10,000.00 	Per Annum
Aluminium Manufacturing	CAT D - Saucepan		 6,000.00 	Per Annum
Aluminium Product Distributors	CAT A - Large Scale		 900.00 	Per Annum
Aluminium Product Distributors	CAT B - Medium Scale		 450.00 	Per Annum
Aluminium Product Distributors	CAT C - Small Scale	 180.00 	 210.00 	Per Annum
Aluminium Product Retailers	Category A - Store (Large)	 300.00 	 210.00 	Per Annum
Aluminium Product Retailers	Category B - Container/Kiosk (Medium)	 200.00 	 140.00 	Per Annum
Aluminium Product Retailers	Category C - Table Top (Small)	 150.00 	 100.00 	Per Annum
Ambulance Service Providers	CAT A - Large Scale (Above 5 Vehicles)		 350.00 	Per Annum
Ambulance Service Providers	CAT B - Medium Scale (3-5 Vehicles)		 150.00 	Per Annum
Ambulance Service Providers	CAT C - Small Scale (1-2 Vehicles)		 75.00 	Per Annum
Art Gallery	CAT A - Own Facility with multi-services	 500.00 	 400.00 	Per Annum
Art Gallery	CAT B - Own Facility with limited-services		 280.00 	Per Annum
Art Gallery	CAT C - Own Facility only	 200.00 	 250.00 	Per Annum
Art Gallery	CAT D - Rented space	 150.00 	 210.00 	Per Annum
Arts & Handicraft Dealers	CAT A - Importers		 2,100.00 	Per Annum
Arts & Handicraft Dealers	CAT B - Exporters	 800.00 	 600.00 	Per Annum
Arts & Handicraft Dealers	CAT C - Producers (Large)	 600.00 	 1,300.00 	Per Annum
Arts & Handicraft Dealers	CAT D - Producers (Medium)	 270.00 	 600.00 	Per Annum
Arts & Handicraft Dealers	CAT E - Producers (Small)	 200.00 	 280.00 	Per Annum
Arts & Handicraft Dealers	CAT F - Retailers Only	 200.00 	 500.00 	Per Annum
Arts & Handicraft Dealers	CAT G - Container/Kiosk	 200.00 	 450.00 	Per Annum
Arts & Handicraft Dealers	CAT H - Table Top	 180.00 	 220.00 	Per Annum
Artisans  e.g.Masons, Carpenters, Plumbers, Electricians, Painters, Steel Benders, Tile Layers etc.	CAT 'A'	 150.00 	 100.00 	Per Annum
Artisans  e.g.Masons, Carpenters, Plumbers, Electricians, Painters, Steel Benders, Tile Layers etc.	CAT 'B'	 100.00 	 50.00 	Per Annum
Auctioning Firms/Agencies / Auctioneers	CAT A		 1,900.00 	Per Annum
Auctioning Firms/Agencies / Auctioneers	CAT B		 1,400.00 	Per Annum
Auctioning Firms/Agencies / Auctioneers	CAT C		 970.00 	Per Annum
Auctioning Firms/Agencies / Auctioneers	CAT D		 500.00 	Per Annum
Air Condition Mechanics	CAT A - Formal Company	 500.00 	 900.00 	Per Annum
Air Condition Mechanics	CAT B - Informal Garage with Shop	 350.00 	 500.00 	Per Annum
Air Condition Mechanics	CAT C - Informal Garage without Shop	 200.00 	 350.00 	Per Annum
Air Condition Mechanics	CAT D - Others	 280.00 	 130.00 	Per Annum
Arc Welders	CAT A - Fuel and Water Tankers; Truck Builders	 600.00 	 600.00 	Per Annum
Arc Welders	CAT B - Light vehicle repairs, Container Shops and Iron Gates	 320.00 	 320.00 	Per Annum
Arc Welders	CAT C - Light vehicle repairs, Container Shops and Iron Gates	 180.00 	 320.00 	
Argon (Aluminium) Welders	Argon (Aluminium) Welders	 180.00 	 220.00 	Per Annum
Auto Body Repairers	CAT A - Formal Company	 1,200.00 	 2,800.00 	Per Annum
Auto Body Repairers	CAT B - Informal Garage with Shop	 1,000.00 	 2,100.00 	Per Annum
Auto Body Repairers	CAT C - Informal Garage without Shop	 720.00 	 1,400.00 	Per Annum
Auto Body Repairers	CAT D - Others	 540.00 	 1,000.00 	Per Annum
Auto Electricians	CAT A - With Battery Charging	 300.00 	 140.00 	Per Annum
Auto Electricians	CAT B - Without Battery Charging	 250.00 	 100.00 	Per Annum
Auto Mechanics	CAT A - Heavy Duty Earthmoving Equipment	 300.00 	 500.00 	Per Annum
Auto Mechanics	CAT B - Heavy Duty Trucks	 260.00 	 280.00 	Per Annum
Auto Mechanics	CAT C - Light Duty Trucks (3 to 5 tonnes)	 200.00 	 210.00 	Per Annum
Auto Mechanics	CAT D - Light Duty Vehicles (Below 3 tonnes)	 130.00 	 130.00 	Per Annum
Auto Sprayers	CAT A - Spraying and Oven	 600.00 	 600.00 	Per Annum
Auto Sprayers	CAT B - Spraying without Oven	 420.00 	 500.00 	Per Annum
Auto Upholstery	CAT A - Moulding and Seat Cover Sewing	 200.00 	 140.00 	Per Annum
Auto Upholstery	CAT B - Seat Cover Sewing	 200.00 	 100.00 	Per Annum
Vulcanisers	CAT A - Tyre Repairs, Wheel Balancing, Alignment and Washing Bay	 340.00 	 525.00 	Per Annum
Vulcanisers	CAT B - Tyre Repairs, Wheel Balancing  and Alignment	 280.00 	 300.00 	Per Annum
Vulcanisers	CAT C - Wheel Balancing  and Alignment	 150.00 	 150.00 	Per Annum
Vulcanisers	CAT D - Tire Repairs only	 90.00 	 90.00 	Per Annum
Brake Specialist	Brake Specialist	 250.00 	 100.00 	Per Annum
Carburettor Specialist	Carburettor Specialist		 100.00 	Per Annum
Plastic Welders and Fabricators	Plastic Welders and Fabricators	 250.00 	 100.00 	Per Annum
Radiator Specialist	Radiator Specialist		 100.00 	Per Annum
Multiple Service Providers for Auto Works	CAT A - Large Scale	 350.00 	 210.00 	Per Annum
Multiple Service Providers for Auto Works	CAT B  - Medium Scale	 250.00 	 160.00 	Per Annum
Multiple Service Providers for Auto Works	CAT C - Small Scale	 200.00 	 130.00 	Per Annum
Windscreen Repairers	CAT A		 210.00 	Per Annum
Windscreen Repairers	CAT B		 190.00 	Per Annum
Windscreen Repairers	CAT C	 130.00 	 130.00 	Per Annum
Automobile Companies - Vehicle Importers/Sales (Brand New)	CAT A - Vehicle Assembling  and Sale		 32,000.00 	Per Annum
Automobile Companies - Vehicle Importers/Sales (Brand New)	CAT B - Heavy Duty Equipment/Vehicle Sales		 13,000.00 	Per Annum
Automobile Companies - Vehicle Importers/Sales (Brand New)	CAT C - Light Duty Equipment/Vehicle Sales		 9,400.00 	Per Annum
Automobile Companies - Saloon and Sub Urban Vehicles (SUVs) Sales	CAT A - Large Scale (Branded Companies)		 13,000.00 	Per Annum
Automobile Companies -  Saloon and Sub Urban Vehicles (SUVs) Sales	CAT B - Medium Scale (Unbranded Companies)		 9,450.00 	Per Annum
Automobile Companies -  Saloon and Sub Urban Vehicles (SUVs) Sales	CAT C -  Small Scale (Unbranded Companies)		 6,000.00 	Per Annum
Automobile Companies -  Saloon and Sub Urban Vehicles (SUVs) Sales	CAT D - Sales Outlets with showrooms		 2,800.00 	Per Annum
Automobile Companies -  Used Vehicle Sales (Second-hand Car Dealers)	CAT A - Large Scale (Above 50 Vehicles)		 2,800.00 	Per Annum
Automobile Companies -  Used Vehicle Sales (Second-hand Car Dealers)	CAT B - Medium Scale (20-49 Vehicles)		 2,800.00 	Per Annum
Automobile Companies -  Used Vehicle Sales (Second-hand Car Dealers)	CAT C - Small Scale (Below 20 Vehicles)		 1,400.00 	Per Annum
Automobile Companies -  Heavy Equipment Hiring Services	CAT A  - Mining Equipment (Large)		 13,000.00 	Per Annum
Automobile Companies -  Heavy Equipment Hiring Services	CAT B  - Construction Equipment (Road & Building) Mining Equipment (Small)		 4,500.00 	Per Annum
Automobile Companies -  Heavy Equipment Hiring Services	CAT C - Construction Equipment (Road & Building - Large)		 9,700.00 	Per Annum
Automobile Companies -  Heavy Equipment Hiring Services	CAT D - Others (small scale) Construction Equipment (Road & Building - Small)		 2,200.00 	Per Annum
Automobile Companies -  Heavy Equipment Hiring Services	CAT E - Others	 1,000.00 	 1,000.00 	Per Annum
Vehicle Assembling & Manufacturing Dealers	CAT A - Foreign		 22,000.00 	Per Annum
Vehicle Assembling & Manufacturing Dealers	CAT B - Local		 12,000.00 	Per Annum
Bolt and Nut Dealers	CAT A - Shop		 140.00 	Per Annum
Bolt and Nut Dealers	CAT B - Table Top		 130.00 	Per Annum
Spare Parts Sales Outlets (New)	CAT A - Importers/Wholesalers Only	 600.00 	 1,300.00 	
Spare Parts Sales Outlets (New)	CAT B  - Wholesalers Only	 490.00 	 750.00 	Per Annum
Spare Parts Sales Outlets (New)	CAT C - Retailers (Large)	 400.00 	 400.00 	Per Annum
Spare Parts Sales Outlets (New)	CAT D - Retailers (Medium)	 273.00 	 280.00 	Per Annum
